部材,項目,値_mm
全体,E_葉部材有効三角形一辺_mm,60.0
全体,S_三組手中心線一辺_mm,67.27
全体,親桟太さ_mm,4.0
全体,葉桟太さ_mm,4.0
全体,中心線から有効三角形までのオフセット_mm,2.1
葉A,全長_A-D_mm,36.95
葉A,下端剣先深さ_A-BF_mm,3.46
葉A,上端剣先深さ_D-CE_mm,3.46
葉A,通常幅部分_BF-CE_mm,30.02
葉A,幅_B-F_mm,4.0
BC連続部材,スリット幅_L-N_mm,4.0
BC連続部材,スリット深さ_H-LN_mm,3.46
BC連続部材,ISR_Jから直線LSへの垂線距離_mm,33.49
BC連続部材,"ISR_2倍寸法_2×d(J,LS)_mm",66.97
BC連続部材,左腕外端幅_I-K_mm,4.0
BC連続部材,右腕外端幅_P-R_mm,4.0
BC連続部材,左腕外端剣先深さ_J-IK_mm,3.46
BC連続部材,右腕外端剣先深さ_Q-PR_mm,3.46
葉A,辺長_A-B,4.0
葉A,辺長_B-C,30.02
葉A,辺長_C-D,4.0
葉A,辺長_D-E,4.0
葉A,辺長_E-F,30.02
葉A,辺長_F-A,4.0
BC連続部材,辺長_H-I,30.02
BC連続部材,辺長_I-J,4.0
BC連続部材,辺長_J-K,4.0
BC連続部材,辺長_K-L,30.02
BC連続部材,辺長_L-N,4.0
BC連続部材,辺長_N-P,30.02
BC連続部材,辺長_P-Q,4.0
BC連続部材,辺長_Q-R,4.0
BC連続部材,辺長_R-S,30.02
